Plant.Type,pop.id,mf,rep,unique.ID,block,bed,row,col,UCD_Garden_2023,WL2_Garden_2023,WL2_Garden_2024,WL2_Garden_2025
F1,LV1 x TM2,NA,11,495,F2,F,26,C,NA,NA,1,NA
F1,LV1 x TM2,NA,26,510,F2,F,41,D,NA,NA,1,NA
F1,LV1 x WL2,NA,2,516,A1,A,9,B,NA,NA,1,1
F1,LV1 x WL2,NA,21,535,A1,A,12,B,NA,NA,1,1
F1,LV1 x WL2,NA,18,532,A2,A,33,B,NA,NA,1,1
F1,LV1 x WL2,NA,30,544,A2,A,37,B,NA,NA,1,1
F1,LV1 x WL2,NA,3,517,B1,B,18,D,NA,NA,1,1
F1,LV1 x WL2,NA,22,536,B1,B,20,C,NA,NA,1,1
F1,LV1 x WL2,NA,23,537,B2,B,28,D,NA,NA,1,1
F1,LV1 x WL2,NA,4,518,B2,B,33,C,NA,NA,1,1
F1,LV1 x WL2,NA,25,539,C1,C,15,A,NA,NA,1,1
F1,LV1 x WL2,NA,6,520,C1,C,16,A,NA,NA,1,1
F1,LV1 x WL2,NA,19,533,C2,C,42,C,NA,NA,1,1
F1,LV1 x WL2,NA,29,543,D1,D,14,B,NA,NA,1,1
F1,LV1 x WL2,NA,12,526,D2,D,24,A,NA,NA,1,1
F1,LV1 x WL2,NA,26,540,D2,D,40,B,NA,NA,1,1
F1,LV1 x WL2,NA,17,531,D1,D,7,D,NA,NA,1,1
F1,LV1 x WL2,NA,5,519,E1,E,4,A,NA,NA,1,1
F1,LV1 x WL2,NA,24,538,E1,E,22,A,NA,NA,1,1
F1,LV1 x WL2,NA,28,542,E2,E,31,A,NA,NA,1,1
F1,LV1 x WL2,NA,16,530,E2,E,37,A,NA,NA,1,1
F1,LV1 x WL2,NA,20,534,F1,F,3,B,NA,NA,1,1
F1,LV1 x WL2,NA,27,541,F2,F,40,B,NA,NA,1,1
F1,LV1 x WL2,NA,15,529,F2,F,43,A,NA,NA,1,1
F1,LV1 x WL2,NA,1,515,F1,F,4,D,NA,NA,1,1
F1,SQ3 x WL2,NA,26,600,A2,A,30,B,NA,NA,1,1
F1,SQ3 x WL2,NA,2,576,A1,A,10,D,NA,NA,1,1
F1,SQ3 x WL2,NA,3,577,B1,B,11,B,NA,NA,1,1
F1,SQ3 x WL2,NA,6,580,B2,B,30,C,NA,NA,1,1
F1,SQ3 x WL2,NA,8,582,C1,C,4,A,NA,NA,1,1
F1,SQ3 x WL2,NA,16,590,D1,D,16,C,NA,NA,1,1
F1,SQ3 x WL2,NA,9,583,D2,D,24,D,NA,NA,1,1
F1,SQ3 x WL2,NA,12,586,E2,E,39,B,NA,NA,1,1
F1,SQ3 x WL2,NA,7,581,E1,E,3,D,NA,NA,1,1
F1,SQ3 x WL2,NA,1,575,F1,F,10,D,NA,NA,1,1
F1,SQ3 x WL2,NA,11,585,F2,F,38,C,NA,NA,1,1
F1,TM2 x WL2,NA,12,720,A1,A,12,A,NA,NA,1,1
F1,TM2 x WL2,NA,1,2002,A1,A,17,A,NA,NA,1,1
F1,TM2 x WL2,NA,21,729,A2,A,29,A,NA,NA,1,1
F1,TM2 x WL2,NA,9,717,A2,A,34,A,NA,NA,1,1
F1,TM2 x WL2,NA,24,732,A1,A,20,D,NA,NA,1,1
F1,TM2 x WL2,NA,25,733,B1,B,8,B,NA,NA,1,1
F1,TM2 x WL2,NA,13,721,B1,B,14,B,NA,NA,1,1
F1,TM2 x WL2,NA,14,722,B2,B,42,A,NA,NA,1,1
F1,TM2 x WL2,NA,1,709,B1,B,17,C,NA,NA,1,1
F1,TM2 x WL2,NA,26,734,B2,B,26,D,NA,NA,1,1
F1,TM2 x WL2,NA,2,710,B2,B,41,D,NA,NA,1,1
F1,TM2 x WL2,NA,28,736,C1,C,14,A,NA,NA,1,1
F1,TM2 x WL2,NA,10,718,C2,C,28,A,NA,NA,1,1
F1,TM2 x WL2,NA,4,712,C1,C,6,D,NA,NA,1,1
F1,TM2 x WL2,NA,16,724,C1,C,9,C,NA,NA,1,1
F1,TM2 x WL2,NA,22,730,C2,C,32,D,NA,NA,1,1
F1,TM2 x WL2,NA,17,725,D2,D,28,A,NA,NA,1,1
F1,TM2 x WL2,NA,5,713,D2,D,38,B,NA,NA,1,1
F1,TM2 x WL2,NA,8,716,D1,D,9,D,NA,NA,1,1
F1,TM2 x WL2,NA,20,728,D1,D,18,D,NA,NA,1,1
F1,TM2 x WL2,NA,29,737,D2,D,36,D,NA,NA,1,1
F1,TM2 x WL2,NA,3,711,E1,E,19,B,NA,NA,1,1
F1,TM2 x WL2,NA,7,715,E2,E,28,B,NA,NA,1,1
F1,TM2 x WL2,NA,19,727,E2,E,38,B,NA,NA,1,1
F1,TM2 x WL2,NA,27,735,E1,E,5,D,NA,NA,1,1
F1,TM2 x WL2,NA,15,723,E1,E,14,D,NA,NA,1,1
F1,TM2 x WL2,NA,23,731,F1,F,7,A,NA,NA,1,1
F1,TM2 x WL2,NA,1,2001,F1,F,9,A,NA,NA,1,1
F1,TM2 x WL2,NA,6,714,F2,F,34,A,NA,NA,1,1
F1,TM2 x WL2,NA,18,726,F2,F,35,A,NA,NA,1,1
F1,TM2 x WL2,NA,11,719,F1,F,18,D,NA,NA,1,1
F1,TM2 x WL2,NA,1,2008,F2,F,31,D,NA,NA,1,1
F1,TM2 x WL2,NA,30,738,F2,F,37,D,NA,NA,1,1
F1,TM2 x YO11,NA,11,765,A1,A,5,A,NA,NA,1,NA
F1,TM2 x YO11,NA,7,761,A2,A,25,D,NA,NA,1,NA
F1,TM2 x YO11,NA,13,767,B1,B,4,D,NA,NA,1,NA
F1,TM2 x YO11,NA,14,768,B2,B,24,D,NA,NA,1,NA
F1,TM2 x YO11,NA,17,771,C1,C,18,A,NA,NA,1,NA
F1,TM2 x YO11,NA,8,762,C2,C,25,A,NA,NA,1,NA
F1,TM2 x YO11,NA,5,759,D1,D,19,B,NA,NA,1,NA
F1,TM2 x YO11,NA,16,770,E1,E,5,A,NA,NA,1,NA
F1,TM2 x YO11,NA,3,757,E2,E,34,C,NA,NA,1,NA
F1,TM2 x YO11,NA,10,764,F1,F,2,C,NA,NA,1,NA
F1,TM2 x YO11,NA,2,756,F2,F,38,D,NA,NA,1,NA
Other_Parent,WL1,8,1,358,B2,B,34,A,NA,NA,1,NA
Other_Parent,WL1,8,3,360,C1,C,10,D,NA,NA,1,NA
Other_Parent,WL1,8,4,361,D2,D,25,C,NA,NA,1,NA
Other_Parent,WL1,8,2,359,E1,E,10,D,NA,NA,1,NA
Other_Parent,WV,5,4,270,A1,A,4,B,NA,NA,1,NA
Other_Parent,WV,6,3,279,A2,A,41,A,NA,NA,1,NA
Other_Parent,WV,5,1,267,A2,A,41,C,NA,NA,1,NA
Other_Parent,WV,5,5,271,B1,B,5,A,NA,NA,1,NA
Other_Parent,WV,5,6,272,B2,B,27,B,NA,NA,1,NA
Other_Parent,WV,5,2,268,C2,C,31,A,NA,NA,1,NA
Other_Parent,WV,6,4,280,C2,C,44,A,NA,NA,1,NA
Other_Parent,WV,5,8,274,C1,C,13,D,NA,NA,1,NA
Other_Parent,WV,5,9,275,D2,D,45,A,NA,NA,1,NA
Other_Parent,WV,6,2,278,D1,D,14,D,NA,NA,1,NA
